"";"pp";"remove";"mapping";"message";"message1";"message2";"fake_mapping";"age";"sex";"country";"education";"response-2";"response-3";"psyKnowledge";"comment"
"1";"5896f9951a06b50001a7ff12";0;"BRAC1_horiAA_1st300";"They had mapping horiAA_1s300";"you can eliminate this one to balance mappings";"did 47 errors";"BRAC1_vertAL_1st300";"22";"male";"Spain";"Bachelor degree";"right-handed";"Spanish";"Not at all";NA
"2";"5a622b2d13898300014b20d6";0;"BRAC1_vertLL_1st300";"";NA;NA;"";"27";"female";"United Kingdom";"Some university/higher education but no degree";"right-handed";"English";"Not at all";""
"3";"5a9bb11435237b0001129a35";0;"BRAC1_horiLL_1st300";NA;"";NA;"";"21";"male";"Poland";"Some university/higher education but no degree";"right-handed";"Polish";"Not at all";""
"4";"5b1fc3ae325d600001c03dcb";0;"BRAC1_horiAA_1st300";"They had mapping horiAA_1s301";"";"did 44 errors";"BRAC1_vertLL_1st0";"27";"male";"England";"Bachelor degree";"right-handed";"English";"Not at all";NA
"5";"5babd4285f26f10001b17c60";0;"BRAC1_horiAA_1st0";"";NA;NA;"";"32";"female";"Spain";"Bachelor degree";"right-handed";"Spanish";"Not at all";""
"6";"5c02a0089649f9000153798b";0;"BRAC1_vertAA_1st0";NA;"";"did 64 errors";"";"23";"male";"Hungary";"Bachelor degree";"right-handed";"Hungary";"Not at all";""
"7";"5c555762dab99000015b8f12";0;"BRAC1_horiLL_1st300";"saw cue for 316 ms 432 times; saw fixation for 1416 ms for 175 times; probably refresh rate issue";NA;"did 57 errors";"";"26";"female";"United Kingdom";"Master degree";"right-handed";"English";"I've studied at least one of these disciplines (school or university)";""
"8";"5c55c7cb9b583c000159f790";1;"BRAC1_vertLA_1st300";NA;"";"for making did 225 errors";"";"25";"female";"Poland";"Some university/higher education but no degree";"right-handed";"Polish";"Not at all";""
"9";"5c636850bad3560001c2749e";0;"BRAC1_vertLL_1st300";"";NA;NA;"";"";"male";"Estonia";"Some university/higher education but no degree";"right-handed";"";"Not at all";""
"10";"5c90f5eae2d9fb0011385c58";0;"BRAC1_horiLL_1st0";"";NA;NA;"";"23";"female";"Estonia";"Bachelor degree";"right-handed";"Estonian";"Not at all";""
"11";"5ca073f0f9013f00169bea2b";1;"BRAC1_vertLA_1st300";NA;"";"for making did 124 errors";"";"25";"female";"United Kingdom";"Bachelor degree";"right-handed";"english";"Not at all";""
"12";"5d0a1cd4561a350001d62ab3";0;"BRAC1_horiLA_1st300";NA;"";"did 49 errors";"";"23";"male";"English";"Some university/higher education but no degree";"right-handed";"English";"Not at all";""
"13";"5d12020e90265e00199ba8a9";0;"BRAC1_vertLA_1st0";"";NA;NA;"";"25";"female";"Portugal";"Master degree";"right-handed";"portuguese";"Some knowledge as amateur";""
"14";"5d3848f6b7bcbd000114235f";0;"BRAC1_horiAL_1st0";"";NA;NA;"";"21";"female";"Wales";"Some university/higher education but no degree";"right-handed";"English";"Some knowledge as amateur";""
"15";"5d4a41890e604c00011ade8b";0;"BRAC1_vertLL_1st0";NA;"";NA;"";"24";"male";"USA";"Bachelor degree";"right-handed";"English";"Not at all";""
"16";"5d5bcd6c0802ee001608c5a8";0;"BRAC1_horiAA_1st300";"They had mapping horiAA_1s302";"";NA;"BRAC1_horiAL_1st0";"24";"male";"Portugal";"Bachelor degree";"right-handed";"Portuguese";"Not at all";"Is there a possibility to know the results of this study? If possible please respond to the prolific email"
"17";"5d81299125e6a40019e3c80d";0;"BRAC1_horiAL_1st0";NA;"";NA;"";"33";"female";"france";"Master degree";"right-handed";"english";"Not at all";""
"18";"5dde6acfcaee3edc541ad36b";0;"BRAC1_horiAL_1st300";"";NA;NA;"";"32";"male";"Italy";"Some university/higher education but no degree";"right-handed";"Italian";"Not at all";""
"19";"5e0e52b46e96ba000b2441d5";0;"BRAC1_vertAL_1st300";"";NA;NA;"";"30";"male";"United Kingdom";"Bachelor degree";"right-handed";"English";"Not at all";""
"20";"5e217a34e8ff3a469b5dfebc";0;"BRAC1_vertLA_1st0";"4 times cue lasted 316 or 334 ms";NA;"did 58 errors";"";"";"female";"USA";"Some university/higher education but no degree";"right-handed";"English";"Not at all";""
"21";"5e29b969130e4e000ca807eb";0;"BRAC1_horiLA_1st0";NA;"";NA;"";"21";"female";"Portugal";"Bachelor degree";"right-handed";"Portuguese";"Not at all";""
"22";"5e3e25c6f2160b0a292a1b3d";0;"BRAC1_vertAA_1st300";"";NA;NA;"";"twenty one years old";"male";"Portugal";"High school diploma";"right-handed";"Portuguese";"Not at all";"Funny study"
"23";"5e43c6cf19962223d3d92d5c";0;"BRAC1_vertAL_1st0";"";NA;NA;"";"24";"female";"Portugal";"Master degree";"right-handed";"Portuguese";"Not at all";""
"24";"5e4a932344498f4e361fee0d";0;"BRAC1_horiAA_1st300";"They had mapping horiAA_1s303";"";NA;"BRAC1_vertAL_1st0";"21";"male";"Portugal";"High school diploma";"right-handed";"Portuguese";"Not at all";"I had to open Chrome in another window, so to be sure that my completion is properly tracked, my prolific ID is 5e4a932344498f4e361fee0d"
"25";"5e6babd0d0031115b8a7bbbf";0;"BRAC1_horiLA_1st300";"";NA;NA;"";"24";"female";"Australia";"Bachelor degree";"right-handed";"English";"Not at all";""
"26";"5e815773285d3883ba2fbbcf";0;"BRAC1_horiAL_1st300";NA;"";NA;"";"24";"male";"United States";"Master degree";"right-handed";"English";"I've studied at least one of these disciplines (school or university)";"I received a minor in psychology in undergrad, not sure if you want to count that as a degree or just studied the discipline"
"27";"5e863f9665bc760e939bae12";1;"BRAC1_horiAA_1st0";"";NA;"for making did 129 errors";"";"32";"female";"england";"Bachelor degree";"right-handed";"polish";"Not at all";""
"28";"5e8dcc81e6686e035680594e";0;"BRAC1_horiLL_1st0";NA;"";NA;"";"28";"female";"Poland";"Master degree";"left-handed";"Polish";"Not at all";"Very interesting study for me"
"29";"5e94f775cb8df5376b30b363";0;"BRAC1_horiLL_1st0";NA;"";NA;"";"20";"male";"Poland";"Some high school but no diploma";"right-handed";"Polish";NA;""
"30";"5eabe11e57f54b1d4b51c985";0;"BRAC1_horiLA_1st300";"screen height was 427 while the min necessary is 648";"took 335.75 minutes to complete the experiment.";NA;"";"27";"female";"";"Bachelor degree";"right-handed";"English";"Not at all";""
"31";"5eb01d08992e0b07e03b19c2";0;"BRAC1_horiAL_1st300";"";NA;NA;"";"19";"male";"United Kingdom";"Some university/higher education but no degree";"right-handed";"English";"Not at all";""
"32";"5eb185511f2ed228a7d73436";0;"BRAC1_vertLA_1st300";"";NA;NA;"";"24";"male";"USA";"Bachelor degree";"right-handed";"English";"Not at all";""
"33";"5ebb1e0c11b78d0dcb01e82c";0;"BRAC1_horiLA_1st0";"";NA;NA;"";"27";"male";"United States";"Some university/higher education but no degree";"right-handed";"English";"Not at all";""
"34";"5ec040acbd55a509d7179ccd";0;"BRAC1_vertAL_1st300";NA;"";NA;"";"23";"male";"Mexico";"Some university/higher education but no degree";"right-handed";"Spanish";"Some knowledge as amateur";"I enjoyed the test, but my eyes hurt after staring at a white screen for a long time"
"35";"5ec37264194de71cb7b82637";0;"BRAC1_vertAA_1st0";"";NA;NA;"";"18";"female";"Canada";"Some high school but no diploma";"right-handed";"English";"Not at all";""
"36";"5ec3dd4a21dd590667039a02";0;"BRAC1_horiAA_1st300";"They had mapping horiAA_1s304";"";NA;"BRAC1_horiAL_1st300";"23";"male";"Belgium";"Some university/higher education but no degree";"right-handed";"Dutch";"Not at all";NA
"37";"5ec65c58dba65c0177c434fe";0;"BRAC1_vertAA_1st300";NA;"";NA;"";"18";"male";"Poland";"Some high school but no diploma";"right-handed";"Polish";"Not at all";"The most interesting study I've taken on Prolific so far :)"
"38";"5ec829e78fd0f02dab19a6b8";1;"BRAC1_vertLL_1st0";NA;"";"for making did 101 errors";"";"19";"male";"Alabama";"High school diploma";"right-handed";"English";"Not at all";""
"39";"5ece67ec48f99322ae6d5ca3";0;"BRAC1_vertLL_1st0";"screen height was 614 while the min necessary is 648.";NA;NA;"";"29";"female";"Spain";"Master degree";"Other (please specify)";"Spanish";"I've studied at least one of these disciplines (school or university)";"My brain kept telling me that L was even an A odd, I had some difficulties with that. It would have been helpful being able to choose the meaning of each letter."
