"";"pp";"remove";"mapping";"message";"message1";"message2";"age";"sex";"country";"education";"response-2";"response-3";"psyKnowledge";"comment"
"1";"5a8e9c8ff1408d000176dae5";1;"BRAC2_horiLA_1st300";"has had 697 weird cue durations";"screen height was 625 while the min necessary is 648";NA;"22";"female";"Portugal";"Bachelor degree";"right-handed";"Portuguese";"Not at all";""
"2";"5bdc5f362562330001b8e622";0;"BRAC2_horiAA_1st0";"";NA;NA;"34";"male";"Portugal";"Some university/higher education but no degree";"left-handed";"Portuguese (PT)";"Not at all";""
"3";"5bf5e55ebf67dc00015a2b3f";1;"BRAC2_vertAL_1st300";"";NA;"did 162 errors";"23";"male";"Poland";"Some university/higher education but no degree";"right-handed";"Polish";"Not at all";""
"5";"5cd422b7e62009001b03f107";0;"BRAC2_horiLL_1st300";"";NA;NA;"19";"male";"Poland";"High school diploma";"left-handed";"polish";"Not at all";""
"8";"5e53d2941b233d02960a0dde";0;"BRAC2_horiLA_1st0";"";NA;NA;"18";"female";"Netherlands";"High school diploma";"right-handed";"Dutch";"Not at all";""
"9";"5e5c993cd0394c474f7cc502";0;"BRAC2_vertAA_1st300";"";NA;NA;"23";"male";"Mexico";"Bachelor degree";"right-handed";"Spanish";"Some knowledge as amateur";""
"10";"5e6bcd93fa0d9e02a29d9de7";1;"BRAC2_vertLL_1st300";"";NA;"did 86 errors";"30";"male";"israel";"Bachelor degree";"right-handed";"hebrew";"Not at all";"i found it pretty annoying that i couldnt change the controls because they were quiet uncomfortable escpecially the l for odd numbers and a for even ones i would have preffered to flip them atleast or even change them completely to left and right mouse clicks or a and d "
"12";"5e7401e8a30c803808f1ce69";0;"BRAC2_horiLA_1st0";"";NA;NA;"20";"male";"Mexico";"Some university/higher education but no degree";"right-handed";"Spanish";"Not at all";""
"13";"5e8eb537c6ec0916503f351b";0;"BRAC2_vertLL_1st0";"";NA;NA;"";"female";"The Netherlands";"Bachelor degree";"right-handed";"Dutch";"Not at all";""
"15";"5eb16e253422cc256758628f";0;"BRAC2_vertAA_1st0";"";NA;NA;"20";"female";"Italy";"Some university/higher education but no degree";"right-handed";"russian";"Not at all";""
"16";"5eb40e49245b8622104636ec";0;"BRAC2_vertLA_1st300";"";NA;NA;"18";"male";"Poland";"High school diploma";"right-handed";"Polish";"Some knowledge as amateur";""
"19";"5ec15cab0c15fc0358052c00";0;"BRAC2_vertLL_1st300";"";NA;NA;"25";"male";"Poland";"Some university/higher education but no degree";"right-handed";"Polish";"Not at all";""
"20";"5ecb79d954cc8832698d9025";0;"BRAC2_vertLA_1st300";"screen height was 598 while the min necessary is 648";NA;NA;"31";"male";"Portugal";"Bachelor degree";"right-handed";"Portuguese";"Not at all";""
"21";"5ed63fca54fe050503f35aed";0;"BRAC2_vertAA_1st0";"";NA;NA;"25";"male";"Poland";"Master degree";"right-handed";"Polish";"Some knowledge as amateur";""
"22";"5ed66b4716a53408d5cc7448";0;"BRAC2_vertAL_1st0";"";NA;NA;"";"female";"England";"High school diploma";"left-handed";"English";"Not at all";""
"110";"5ccc7f5164da9300186d7ae0";0;"BRAC2_horiAL_1st300";"";"";"did 57 errors";NA;"male";"España";"Some university/higher education but no degree";"right-handed";"Spanish";"Not at all";""
"23";"5d0a9e4590da3200177ca97c";0;"BRAC2_horiAA_1st300";"";"";NA;"22";"male";"United Kingdom";"Bachelor degree";"right-handed";"English";"Some knowledge as amateur";"Took me a while to get that greater was on the left and not the right"
"31";"5d1cfc4ee950480015366f7b";0;"BRAC2_horiLL_1st0";"";"";"did 57 errors";"21";"female";"poland";"Some university/higher education but no degree";"right-handed";"polish";"Some knowledge as amateur";""
"4";"5e6d5d899dae0e328cc4a169";0;"BRAC2_vertAL_1st300";"";"";NA;"19";"male";"Italy";"High school diploma";"right-handed";"Italian";"Not at all";""
"51";"5e91e5ba42eb130009d29588";1;"BRAC2_horiAL_1st0";"";"";"for making did 193 errors & 285 fast response";"20";"male";"Poland";"Some university/higher education but no degree";"right-handed";"Polish";"Some knowledge as amateur";""
"6";"5eb7624752ea80693d86b263";0;"BRAC2_horiLA_1st300";"";"";"did 55 errors";"26";"male";"Portual";"Some university/higher education but no degree";"left-handed";"Portuguese";"Some knowledge as amateur";""
"7";"5ebe9ba752363c05058883d8";0;"BRAC2_horiLL_1st0";"";"";NA;"29";"female";"England";"High school diploma";"right-handed";"English";"Not at all";""
"81";"59402f40e9b44100013b1789";0;"BRAC2_horiAL_1st0";"screen height was 625 while the min necessary is 648";"";NA;"28";"female";"Spain";"Bachelor degree";"right-handed";"Spanish";"Not at all";""
"91";"5acc3c34fa3b4e000173c659";0;"BRAC2_vertLA_1st300";"";"";NA;"27";"female";"Canada";"Master degree";"right-handed";"French";"I've studied at least one of these disciplines (school or university)";""
"101";"5c06a957adacd70001f57289";0;"BRAC2_vertLL_1st300";"screen height was 611 while the min necessary is 648";"";NA;NA;"male";"Hungary";"Master degree";"right-handed";"Hungarian";"Not at all";""
"11";"5c5177a1f5ef110001ecfdee";0;"BRAC2_horiAA_1st0";"";"";NA;"24";"male";"Northern Ireland";"Bachelor degree";"right-handed";"English";"Some knowledge as amateur";"An enjoyable experiment, though of course, annoying when I realised I'd hit the wrong option each time! Thank you!"
"121";"5cdd7d9f83e768001952c3d6";0;"BRAC2_vertLA_1st0";"";"";"did 50 errors";"25";"male";"Poland";"Bachelor degree";"right-handed";"Polish";"Not at all";""
"131";"5d716715d1e5b80015d63d2e";1;"BRAC2_vertAL_1st0";"";"";"for making 182 errors & 92 super fast resp";"24";"female";"greece";"Bachelor degree";"left-handed";"greek";"Some knowledge as amateur";""
"14";"5e2d8e0accad9c386b566154";1;"BRAC2_horiAA_1st300";"";"";"did 275 errors & 42 very slow resp & 60 super fast resp";"27";"male";"Poland";"Master degree";"right-handed";"Poland";"I've studied at least one of these disciplines (school or university)";""
"151";"5e7e45b8f0320e0897cf5048";0;"BRAC2_vertAA_1st300";"";"";NA;"19";"male";"Portugal";"High school diploma";"left-handed";"Portuguese";"Not at all";""
"161";"5e834e19df483e071fe3c77e";0;"BRAC2_horiLA_1st0";"";"";NA;"29";"female";"italy";"Master degree";"right-handed";"italian";"Some knowledge as amateur";""
"17";"5eba2435926e6315d00277b2";0;"BRAC2_vertLL_1st0";"";"";NA;"18";"male";"Portugal";"High school diploma";"left-handed";"Portuguese";"Some knowledge as amateur";""
"18";"5ebc6438748b21094bb167c9";0;"BRAC2_vertAL_1st300";"";"";NA;"33";"male";"United Kingdom";"Bachelor degree";"right-handed";"English";"Not at all";""
"191";"5ec11a7ecc3cd20111f07681";0;"BRAC2_horiAL_1st300";"";"";NA;"19";"male";"Portugal";"High school diploma";"right-handed";"Portuguese";"Not at all";""
